
time: 2026-04-20 04:27:20.628331+03:00, elapsed: 0.851 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:27:50.677784+03:00, elapsed: 0.833 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:28:20.876445+03:00, elapsed: 0.914 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:28:51.095649+03:00, elapsed: 0.947 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:29:21.054976+03:00, elapsed: 0.795 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:29:50.808928+03:00, elapsed: 0.958 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:30:21.422992+03:00, elapsed: 0.939 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:31:20.483548+03:00, elapsed: 0.836 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:31:50.653713+03:00, elapsed: 0.807 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:32:41.350496+03:00, elapsed: 0.814 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:33:16.624515+03:00, elapsed: 0.823 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:33:42.136590+03:00, elapsed: 0.827 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:34:12.431242+03:00, elapsed: 0.961 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:34:20.479418+03:00, elapsed: 0.813 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:34:50.812525+03:00, elapsed: 0.843 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:35:20.440379+03:00, elapsed: 0.839 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:35:50.630216+03:00, elapsed: 0.835 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:36:20.894395+03:00, elapsed: 0.818 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:36:51.117510+03:00, elapsed: 0.904 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:37:21.271035+03:00, elapsed: 0.865 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:37:50.889706+03:00, elapsed: 0.805 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:38:41.456899+03:00, elapsed: 0.856 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:38:50.895360+03:00, elapsed: 0.813 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:39:43.339167+03:00, elapsed: 0.820 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:40:16.505916+03:00, elapsed: 0.830 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:40:41.022928+03:00, elapsed: 0.832 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:40:50.654426+03:00, elapsed: 0.852 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:41:20.776494+03:00, elapsed: 0.789 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:41:51.106574+03:00, elapsed: 0.870 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:42:21.352394+03:00, elapsed: 0.859 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 04:42:50.304282+03:00, elapsed: 0.801 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:40:53.357806+03:00, elapsed: 1.498 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:40:55.190054+03:00, elapsed: 3.322 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:41:53.599985+03:00, elapsed: 0.898 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:42:02.311705+03:00, elapsed: 0.753 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:42:54.298662+03:00, elapsed: 0.866 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:43:02.656451+03:00, elapsed: 0.801 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:43:53.834154+03:00, elapsed: 1.005 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 07:44:03.083573+03:00, elapsed: 0.897 sec, row count: 5042, max date: 2026-01
