
time: 2026-04-20 04:13:07.463706+03:00, elapsed: 18.189 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:13:37.590939+03:00, elapsed: 18.146 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:14:07.389969+03:00, elapsed: 18.062 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:14:37.576085+03:00, elapsed: 17.877 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:15:07.179081+03:00, elapsed: 18.423 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:15:37.031776+03:00, elapsed: 18.189 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:16:07.886165+03:00, elapsed: 18.579 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:16:37.092585+03:00, elapsed: 18.123 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:17:07.147233+03:00, elapsed: 18.034 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:17:36.975467+03:00, elapsed: 17.808 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:18:07.612121+03:00, elapsed: 18.278 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:18:37.453203+03:00, elapsed: 18.036 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:19:07.894652+03:00, elapsed: 18.267 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:19:37.849382+03:00, elapsed: 18.131 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:20:08.102500+03:00, elapsed: 18.659 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:20:38.341290+03:00, elapsed: 18.291 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:21:08.402557+03:00, elapsed: 18.239 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:21:38.750796+03:00, elapsed: 18.448 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:22:38.705879+03:00, elapsed: 18.127 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:23:08.058324+03:00, elapsed: 18.338 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:23:38.261756+03:00, elapsed: 18.423 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:24:07.888235+03:00, elapsed: 18.250 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:24:38.019173+03:00, elapsed: 17.943 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:25:08.062801+03:00, elapsed: 17.926 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:25:38.562343+03:00, elapsed: 18.336 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:26:38.653793+03:00, elapsed: 18.013 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:27:07.690381+03:00, elapsed: 18.093 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:27:37.856748+03:00, elapsed: 18.080 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:28:08.120859+03:00, elapsed: 18.276 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:28:37.818572+03:00, elapsed: 17.856 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:29:08.362298+03:00, elapsed: 18.211 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:29:38.793282+03:00, elapsed: 18.532 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:30:38.428786+03:00, elapsed: 17.942 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:31:07.553198+03:00, elapsed: 17.978 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:31:38.470265+03:00, elapsed: 17.737 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:32:09.550234+03:00, elapsed: 18.647 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:32:37.965332+03:00, elapsed: 17.969 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:33:08.172663+03:00, elapsed: 17.992 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:33:38.617747+03:00, elapsed: 18.225 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:34:08.840083+03:00, elapsed: 18.275 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:34:38.750315+03:00, elapsed: 18.019 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:35:09.027740+03:00, elapsed: 17.964 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:35:38.936858+03:00, elapsed: 18.242 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:36:09.076326+03:00, elapsed: 18.174 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 04:36:39.261821+03:00, elapsed: 18.106 sec, row count: 257065, max date: 2026-02
